categoria,titulo,precio_oferta,precio_normal,imagen
Paquete,Paquetes a Cartagena de Indias,311221,537687,//media.staticontent.com/media/pictures/6da6dac8-9b49-435b-9879-27d6ffdee071/300x200
Paquete,Paquetes a Cali,364932,621978,//media.staticontent.com/media/pictures/a857f04c-3a2a-4201-93da-864454c20815/300x200
Paquete,Paquetes a San Andrés,804606,874273,//media.staticontent.com/media/pictures/1d2f5ba8-fe90-42a0-aca4-dc62014cef6b/300x200
Paquete,Paquetes a Cancún,2141410,2450024,//media.staticontent.com/media/pictures/f7a9fc57-3452-46e0-8673-a97326cc6e6a/300x200
Paquete,Paquetes a Ciudad de México,1356213,1936761,//media.staticontent.com/media/pictures/76cd20fa-c780-4353-ac28-f91e32132094/300x200
Paquete,Paquetes a Madrid,2467729,2606070,//media.staticontent.com/media/pictures/13c15223-95d4-432a-8787-dd5559beebfc/300x200
Paquete,Paquetes a Panamá,1056942,1260844,//media.staticontent.com/media/pictures/47408bb2-90b3-41f7-aa07-7514c25f7480/300x200
Paquete,Paquetes a Buenos Aires,2320414,2990675,//media.staticontent.com/media/pictures/a5b3697c-3344-4c05-88ed-66d9cf6d26c5/300x200
Vuelo,Vuelo a Madrid,1664160,0,//media.staticontent.com/media/pictures/811a7b53-a16d-4045-877a-5b3f2d904939/300x200
Vuelo,Panamá + La Habana,2008360,0,//media.staticontent.com/media/pictures/25e197fa-6fdf-4dcc-bd50-cf8087c21627/300x200
Vuelo,Vuelo a Cancún,866757,0,//media.staticontent.com/media/pictures/1562c500-548e-4339-8cf6-2d6754007e5f/300x200
Vuelo,Vuelo a Santiago de Chile,930708,0,//media.staticontent.com/media/pictures/3a0ad42f-ab88-49f3-9302-2d875cef0c07/300x200
Vuelo,Vuelo a Barranquilla,144060,0,//media.staticontent.com/media/pictures/031c0072-cfdd-47ba-b712-cb15472132c3/300x200
Vuelo,Vuelo a Monteria,136590,0,//media.staticontent.com/media/pictures/3a5270d6-0371-4780-bdb5-f45512b8d0be/300x200
Vuelo,Vuelo a Nueva York,806450,0,//media.staticontent.com/media/pictures/aa4c9a4d-6949-4853-a74c-1a3d6ce777ed/300x200
Vuelo,Vuelo a Punta Cana,871009,0,//media.staticontent.com/media/pictures/417006d8-5bc0-4b37-b525-16f6fe0516bd/300x200
Vuelo,Vuelos a Medellín,76737,0,//media.staticontent.com/media/pictures/56234749-08bf-4c05-a2de-617ce8941972/300x200
Vuelo,Vuelos a Cartagena de Indias,90121,0,//media.staticontent.com/media/pictures/59a7746b-75a5-4ccf-97f5-88f8d40e9f47/300x200
Vuelo,Vuelos a Santa Marta,97165,0,//media.staticontent.com/media/pictures/dbd97d42-2312-41b4-8097-5ab189c2cbfc/300x200
Paquete,Paquetes a San Andrés,1200677,1809855,//media.staticontent.com/media/pictures/edfd2b87-2d0b-4ace-944d-804f3fb15057/300x200
Vuelo,Vuelos a Cali,74660,0,//media.staticontent.com/media/pictures/29211d41-e73a-4e87-a330-fb647103f137/300x200
Alojamiento,UGO Hotel,273984,0,//media.staticontent.com/media/pictures/a11b893a-1d88-41c9-916d-69706770c7c7/300x200
Actividad,Entradas a Parques Temáticos Disney,516283,0,//media.staticontent.com/media/pictures/a1a798f7-f4ab-4583-b4f2-cc17a5b1fef8/300x200
Alojamiento,Hotel Calypso Beach,612886,0,//media.staticontent.com/media/pictures/310ff2bd-d37d-498e-937e-bca37a310cb7/300x200
Vuelo,Vuelos a Ciudad de México,4862622,0,//media.staticontent.com/media/pictures/2fefbd59-69e7-408a-ac96-8bd806b9f693/300x200
Vuelo,Vuelos a Miami,716870,0,//media.staticontent.com/media/pictures/d2829cc9-46ae-42f8-ae68-d3ee165c7f4e/300x200
Paquete,Paquetes a Santa Marta,427063,940809,//media.staticontent.com/media/pictures/4a43b624-fee8-401d-a74f-4bde6bf58d22/300x200
Alojamiento,Hotel Poblado Plaza,350400,438000,//media.staticontent.com/media/pictures/410ac798-9be4-4a26-92b3-59c97baa0d2d/300x200
Auto,Carros Económicos en Miami,180092,0,//media.staticontent.com/media/pictures/82a8de0f-9bf6-4408-a676-c58bca356a61/300x200
Auto,Autos Económicos en Cartagena de Indias,110933,0,//media.staticontent.com/media/pictures/1c2f2914-2fda-4bde-80de-daff75596434/300x200
Vuelo,Vuelos a Cartagena de Indias,82010,0,//media.staticontent.com/media/pictures/24a1d578-9bd1-4f8d-9a32-1ebcd85cdf9e/300x200
Alojamiento,Hotel Capilla Del Mar,392412,509626,//media.staticontent.com/media/pictures/e10e9950-267c-40bc-b3d9-ea6582b700cf/300x200
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
,,0,0,
